Team,Player,Event,Mins,Secs,X,Y,X2,Y2
GEVP,2,Pase,35,8,47,11,14,68
GEVP,12,Pase,35,11,15,75,25,34
GEVP,5,Pase,35,15,25,29,16,43
GEVP,5,Errado,35,14,19,36,-,-
GEVP,11,reb_of,35,16,16,61,-,-
GEVP,11,Pase,35,20,14,67,47,54
GEVP,5,Pase,35,22,42,48,2,64
GEVP,12,Pase,35,23,3,66,24,77
GEVP,5,Errado,35,26,28,84,-,-
GEVP,11,reb_of,35,27,11,42,-,-
GEVP,11,Gol,35,28,9,37,-,-
SITAS,4,Pase,35,31,14,39,33,32
SITAS,11,Pase,35,33,34,34,50,57
SITAS,10,Pase,35,35,55,51,78,85
SITAS,6,Pase,35,37,80,88,73,54
SITAS,15,Pase,35,38,70,68,59,31
SITAS,10,Perdida,35,42,60,36,-,-
SITAS,6,Pase,35,48,65,41,23,48
GEVP,5,Pase,35,50,24,48,9,26
GEVP,8,Pase,35,52,9,26,31,36
GEVP,5,Errado,35,54,31,34,-,-
SITAS,4,reb_def,35,55,11,58,-,-
SITAS,4,Pase,35,55,11,56,23,78
SITAS,2     ,Pase,35,57,20,91,38,57
SITAS,10,Pase,35,59,41,53,65,89
SITAS,2     ,Errado,36,1,71,81,-,-
GEVP,12,reb_def,36,5,85,45,-,-
GEVP,12,Pase,36,5,85,40,70,9
GEVP,5,Pase,36,7,72,9,32,15
GEVP,2,Pase,36,9,26,10,55,10
GEVP,5,Pase,36,11,56,11,69,23
GEVP,12,Pase,36,14,70,19,77,79
GEVP,6,Pase,36,14,74,79,59,95
GEVP,8,Pase,36,15,58,94,68,69
GEVP,6,Pase,36,16,74,71,37,91
GEVP,8,Pase,36,18,40,84,24,46
GEVP,5,Pase,36,19,25,49,31,91
GEVP,2,Pase,36,22,31,89,12,94
GEVP,8,Pase,36,25,20,92,40,13
GEVP,12,Pase,36,26,39,12,36,50
GEVP,11,Errado,36,29,39,34,-,-
GEVP,2,reb_of,36,31,11,53,-,-
GEVP,2,Gol,36,31,12,54,-,-
SITAS,4,minuto,36,35,1,10,-,-
SITAS,6,sub_out,36,44,1,8,-,-
SITAS,7,sub_in,36,48,1,9,-,-
SITAS,2     ,Pase,37,56,6,71,24,16
SITAS,4,Pase,37,58,25,13,28,72
SITAS,2     ,Pase,38,0,27,76,38,17
SITAS,4,Pase,38,2,33,17,58,12
SITAS,11,Pase,38,3,58,8,65,69
SITAS,7,Pase,38,6,62,72,79,85
SITAS,15,Pase,38,8,77,82,69,59
SITAS,11,Pase,38,14,71,59,87,61
SITAS,7,Pase,38,14,89,59,83,24
SITAS,15,Gol,38,16,83,20,-,-
GEVP,12,Pase,38,19,92,44,80,95
GEVP,5,Pase,38,21,75,91,31,91
GEVP,2,Pase,38,23,34,93,52,7
GEVP,6,Pase,38,25,56,7,35,4
GEVP,5,Pase,38,27,39,8,13,13
GEVP,11,Pase,38,30,13,10,21,78
GEVP,2,Gol,38,32,23,79,-,-
GEVP,4,Pase,38,37,9,41,56,15
SITAS,7,Pase,38,39,58,21,80,29
SITAS,10,Pase,38,41,80,27,76,44
SITAS,11,Errado,38,43,76,37,-,-
GEVP,2,reb_def,38,43,86,64,-,-
GEVP,2,Pase,38,44,88,58,63,90
GEVP,12,Pase,38,46,60,82,63,19
GEVP,6,Pase,38,47,64,21,41,7
GEVP,11,Pase,38,50,42,9,46,50
GEVP,8,Pase,38,52,45,51,37,15
GEVP,11,Pase,38,54,41,15,46,49
GEVP,5,Pase,38,56,47,47,21,61
GEVP,2,Gol,38,58,25,59,-,-
SITAS,4,Pase,39,2,10,58,20,93
SITAS,2     ,Pase,39,4,24,97,25,50
SITAS,4,Pase,39,7,23,53,44,12
SITAS,7,Pase,39,9,46,10,29,30
SITAS,10,Pase,39,11,32,29,63,30
SITAS,11,Pase,39,13,64,31,87,87
SITAS,2     ,Pase,39,13,89,88,84,61
SITAS,7,Perdida,39,17,84,61,-,-
GEVP,12,Recupero,39,17,85,61,-,-
GEVP,12,Pase,39,18,91,84,67,21
GEVP,5,Pase,39,18,68,19,55,89
GEVP,8,Pase,39,20,47,85,32,25
GEVP,5,Errado,39,22,18,38,-,-
GEVP,5,Foul,39,24,16,40,-,-
SITAS,4,Pase,39,30,24,40,56,7
SITAS,15,Pase,39,32,55,8,81,17
SITAS,11,Pase,39,33,80,12,88,60
SITAS,7,Pase,39,36,97,56,62,74
SITAS,15,Pase,39,39,61,69,77,92
SITAS,10,Pase,39,39,78,92,85,65
SITAS,7,Errado,39,41,81,61,-,-
GEVP,2,reb_def,39,41,87,43,-,-
GEVP,2,Pase,39,43,87,39,75,15
GEVP,6,Pase,39,45,73,7,72,48
