Team,Player,Event,Mins,Secs,X,Y,X2,Y2
GEVP,9,Pase,48,52,42,25,52,7
GEVP,11,Pase,48,53,51,15,51,69
GEVP,8,Pase,48,55,50,71,71,94
GEVP,2,Pase,48,56,71,95,89,85
GEVP,5,Pase,48,58,90,85,80,59
GEVP,2,Pase,48,59,82,55,98,78
GEVP,11,Gol,49,0,96,78,-,-
SITAS,4,Pase,49,5,86,54,74,65
SITAS,9,Pase,49,6,73,67,63,93
SITAS,15,Pase,49,8,62,93,71,65
SITAS,4,Pase,49,10,72,63,47,65
SITAS,11,Pase,49,13,49,62,38,90
SITAS,15,Pase,49,14,38,91,25,96
SITAS,10,Pase,49,17,25,95,45,63
SITAS,15,Pase,49,19,45,64,24,44
SITAS,11,Errado,49,21,29,43,-,-
GEVP,5,reb_def,49,21,10,41,-,-
GEVP,5,Pase,49,23,11,40,26,6
GEVP,12,Pase,49,24,25,7,44,6
GEVP,8,Pase,49,26,44,8,60,29
GEVP,5,Gol,49,27,67,36,-,-
SITAS,7,Pase,49,32,87,68,73,53
SITAS,7,Pase,49,34,74,55,54,6
SITAS,4,Pase,49,36,55,9,38,6
SITAS,10,Pase,49,38,38,4,21,12
SITAS,11,Pase,49,41,21,14,20,74
SITAS,10,Errado,49,43,17,68,-,-
GEVP,12,reb_def,49,44,19,50,-,-
GEVP,12,Pase,49,46,20,46,34,19
GEVP,9,Pase,49,48,35,21,26,48
GEVP,12,Pase,49,50,27,52,48,87
GEVP,8,Pase,49,54,47,90,57,19
GEVP,9,Gol,49,55,60,25,-,-
SITAS,9,Pase,49,59,85,39,68,81
SITAS,7,Pase,50,0,69,80,44,93
SITAS,15,Pase,50,3,43,90,60,49
GEVP,8,Foul,50,6,16,62,-,-
SITAS,10,Pase,50,15,17,66,30,54
SITAS,15,Pase,50,15,30,54,24,80
GEVP,11,Foul,50,17,16,60,-,-
SITAS,11,Pase,50,19,16,64,42,71
SITAS,15,Gol,50,21,40,67,-,-
GEVP,12,Pase,50,25,12,49,23,24
GEVP,9,Pase,50,27,23,24,38,7
GEVP,11,Pase,50,29,39,8,27,22
GEVP,9,Pase,50,32,27,22,29,79
GEVP,12,Pase,50,33,29,80,41,95
GEVP,8,Pase,50,35,41,93,72,84
GEVP,2,Pase,50,37,72,83,86,28
GEVP,11,Errado,50,38,87,39,-,-
GEVP,11,Perdida,50,38,86,39,-,-
SITAS,9,Pase,50,44,85,39,66,77
SITAS,4,Pase,50,45,65,77,43,91
SITAS,7,Pase,50,47,44,90,30,64
SITAS,11,Pase,50,49,29,69,12,76
SITAS,15,Pase,50,52,11,77,23,94
SITAS,10,Pase,50,55,23,93,53,26
SITAS,4,Pase,50,56,53,25,37,20
SITAS,11,Pase,50,59,35,21,8,72
SITAS,10,Pase,51,1,7,73,40,67
SITAS,15,Pase,51,2,41,67,23,91
