Team,Player,Event,Mins,Secs,X,Y,X2,Y2,id
GEVP,6,Pase,36,16,74,71,37,91,258
GEVP,8,Pase,36,18,40,84,24,46,259
GEVP,5,Pase,36,19,25,49,31,91,260
GEVP,2,Pase,36,22,31,89,12,94,261
GEVP,8,Pase,36,25,20,92,40,13,262
GEVP,12,Pase,36,26,39,12,36,50,263
GEVP,11,Errado,36,29,39,34,-,-,264
GEVP,2,reb_of,36,31,11,53,-,-,265
GEVP,2,Gol,36,31,12,54,-,-,266
SITAS,4,minuto,36,35,1,10,-,-,267
SITAS,6,sub_out,36,44,1,8,-,-,268
SITAS,7,sub_in,36,48,1,9,-,-,269
SITAS,2     ,Pase,37,56,6,71,24,16,270
SITAS,4,Pase,37,58,25,13,28,72,271
SITAS,2     ,Pase,38,0,27,76,38,17,272
SITAS,4,Pase,38,2,33,17,58,12,273
SITAS,11,Pase,38,3,58,8,65,69,274
SITAS,7,Pase,38,6,62,72,79,85,275
SITAS,15,Pase,38,8,77,82,69,59,276
SITAS,11,Pase,38,14,71,59,87,61,277
SITAS,7,Pase,38,14,89,59,83,24,278
SITAS,15,Gol,38,16,83,20,-,-,279
GEVP,12,Pase,38,19,92,44,80,95,280
GEVP,5,Pase,38,21,75,91,31,91,281
GEVP,2,Pase,38,23,34,93,52,7,282
GEVP,6,Pase,38,25,56,7,35,4,283
GEVP,5,Pase,38,27,39,8,13,13,284
GEVP,11,Pase,38,30,13,10,21,78,285
GEVP,2,Gol,38,32,23,79,-,-,286
GEVP,4,Pase,38,37,9,41,56,15,287
SITAS,7,Pase,38,39,58,21,80,29,288
SITAS,10,Pase,38,41,80,27,76,44,289
SITAS,11,Errado,38,43,76,37,-,-,290
GEVP,2,reb_def,38,43,86,64,-,-,291
GEVP,2,Pase,38,44,88,58,63,90,292
GEVP,12,Pase,38,46,60,82,63,19,293
GEVP,6,Pase,38,47,64,21,41,7,294
GEVP,11,Pase,38,50,42,9,46,50,295
GEVP,8,Pase,38,52,45,51,37,15,296
GEVP,11,Pase,38,54,41,15,46,49,297
GEVP,5,Pase,38,56,47,47,21,61,298
GEVP,2,Gol,38,58,25,59,-,-,299
SITAS,4,Pase,39,2,10,58,20,93,300
SITAS,2     ,Pase,39,4,24,97,25,50,301
SITAS,4,Pase,39,7,23,53,44,12,302
SITAS,7,Pase,39,9,46,10,29,30,303
SITAS,10,Pase,39,11,32,29,63,30,304
SITAS,11,Pase,39,13,64,31,87,87,305
SITAS,2     ,Pase,39,13,89,88,84,61,306
SITAS,7,Perdida,39,17,84,61,-,-,307
GEVP,12,Recupero,39,17,85,61,-,-,308
GEVP,12,Pase,39,18,91,84,67,21,309
GEVP,5,Pase,39,18,68,19,55,89,310
GEVP,8,Pase,39,20,47,85,32,25,311
GEVP,5,Errado,39,22,18,38,-,-,312
GEVP,5,Foul,39,24,16,40,-,-,313
SITAS,4,Pase,39,30,24,40,56,7,314
SITAS,15,Pase,39,32,55,8,81,17,315
SITAS,11,Pase,39,33,80,12,88,60,316
SITAS,7,Pase,39,36,97,56,62,74,317
SITAS,15,Pase,39,39,61,69,77,92,318
SITAS,10,Pase,39,39,78,92,85,65,319
SITAS,7,Errado,39,41,81,61,-,-,320
GEVP,2,reb_def,39,41,87,43,-,-,321
GEVP,2,Pase,39,43,87,39,75,15,322
GEVP,6,Pase,39,45,73,7,72,48,323
GEVP,2,Pase,39,46,71,37,33,88,324
GEVP,8,Pase,39,49,32,81,55,48,325
GEVP,2,Pase,39,51,57,46,19,92,326
GEVP,11,Pase,39,53,19,93,43,95,327
GEVP,8,Pase,39,54,43,93,21,95,328
GEVP,11,Pase,39,56,24,94,9,44,329
GEVP,2,Gol,39,58,8,46,-,-,330
SITAS,4,Pase,40,3,10,42,27,19,331
SITAS,11,Pase,40,4,23,13,50,4,332
SITAS,7,Pase,40,7,48,5,57,33,333
SITAS,11,Pase,40,9,57,29,89,64,334
SITAS,2     ,Gol,40,11,89,54,-,-,335
GEVP,11,Pase,40,16,90,51,74,69,336
GEVP,6,Pase,40,17,75,79,79,44,337
GEVP,11,Pase,40,19,74,44,71,8,338
GEVP,12,Pase,40,20,71,8,55,29,339
GEVP,11,Pase,40,21,47,13,32,88,340
GEVP,8,Pase,40,23,35,86,48,50,341
GEVP,11,Pase,40,24,48,40,37,9,342
GEVP,2,Pase,40,26,44,10,8,48,343
GEVP,8,Pase,40,28,8,44,11,65,344
GEVP,11,Gol,40,30,7,67,-,-,345
SITAS,4,Pase,40,33,13,57,16,93,346
SITAS,2     ,Pase,40,35,17,95,29,58,347
SITAS,4,Pase,40,36,27,60,58,64,348
SITAS,10,Pase,40,37,59,67,60,10,349
GEVP,12,Foul,40,42,79,50,-,-,350
SITAS,10,Pase,40,53,79,51,94,47,351
SITAS,7,Errado,40,55,94,47,-,-,352
GEVP,8,reb_def,40,57,72,49,-,-,353
GEVP,8,Pase,40,57,69,52,75,20,354
GEVP,12,Pase,40,59,76,12,57,31,355
GEVP,8,Pase,41,2,54,26,21,37,356
GEVP,2,Gol,41,4,20,45,-,-,357
SITAS,4,Pase,41,7,14,63,30,14,358
SITAS,2,Pase,41,10,29,9,64,46,359
SITAS,11,Pase,41,11,67,32,58,86,360
SITAS,10,Gol,41,13,65,83,-,-,361
GEVP,8,Pase,41,15,87,48,66,15,362
GEVP,12,Pase,41,17,69,18,74,63,363
GEVP,8,Pase,41,20,75,61,70,14,364
GEVP,12,Pase,41,22,70,13,52,7,365
GEVP,11,Pase,41,25,54,9,69,84,366
GEVP,6,Pase,41,27,73,86,39,91,367
GEVP,8,Pase,41,28,31,93,63,90,368
GEVP,6,Pase,41,30,53,93,43,46,369
GEVP,11,Pase,41,32,50,49,23,10,370
GEVP,5,Pase,41,34,25,16,3,15,371
SITAS,10,Foul,41,36,19,35,-,-,372
GEVP,5,Pase,41,41,2,26,2,53,373
GEVP,8,Errado,41,44,10,49,-,-,374
SITAS,2,reb_def,41,47,11,49,-,-,375
SITAS,2,Pase,41,49,12,48,22,81,376
SITAS,4,Pase,41,51,23,82,34,53,377
SITAS,2,Pase,41,54,31,51,51,85,378
SITAS,11,Pase,41,55,59,78,45,24,379
SITAS,15,Pase,41,57,46,26,64,86,380
SITAS,2,Gol,41,58,72,80,-,-,381
GEVP,12,Pase,42,1,85,50,75,66,382
GEVP,6,Pase,42,3,76,59,72,90,383
GEVP,11,Pase,42,6,57,89,28,92,384
GEVP,8,Pase,42,7,26,97,43,87,385
GEVP,11,Pase,42,9,38,90,32,9,386
GEVP,5,Pase,42,11,32,10,9,21,387
